@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number,orcid
true,74,https://api.elsevier.com/content/author/author_id/7006509365,7006509365,Halmi K.,Halmi,Katherine,K.,true,60007997,83,NA
true,75,https://api.elsevier.com/content/author/author_id/36099903900,36099903900,Hanscombe K.,Hanscombe,Ken,K.,true,60009797,83,NA
true,76,https://api.elsevier.com/content/author/author_id/6506564638,6506564638,Hatzikotoulas K.,Hatzikotoulas,Konstantinos,K.,true,60005517,83,NA
true,77,https://api.elsevier.com/content/author/author_id/57206755265,57206755265,Hauser J.,Hauser,Joanna,J.,true,60069010,83,NA
true,78,https://api.elsevier.com/content/author/author_id/21645697400,21645697400,Hebebrand J.,Hebebrand,Johannes,J.,true,60007896,83,NA
true,79,https://api.elsevier.com/content/author/author_id/55220035200,55220035200,Helder S.,Helder,Sietske,S.,true,60015879,83,NA
true,80,https://api.elsevier.com/content/author/author_id/8899860500,8899860500,Henders A.,Henders,Anjali,A.,true,60031004,83,NA
true,81,https://api.elsevier.com/content/author/author_id/24171122900,24171122900,Herms S.,Herms,Stefan,S.,true,60028287,83,NA
true,82,https://api.elsevier.com/content/author/author_id/26643071600,26643071600,Herpertz-Dahlmann B.,Herpertz-Dahlmann,Beate,B.,true,60016653,83,NA
true,83,https://api.elsevier.com/content/author/author_id/7201910850,7201910850,Herzog W.,Herzog,Wolfgang,W.,true,60003280,83,NA
true,84,https://api.elsevier.com/content/author/author_id/7005422532,7005422532,Hinney A.,Hinney,Anke,A.,true,60007896,83,NA
true,85,https://api.elsevier.com/content/author/author_id/7005366140,7005366140,Horwood L.J.,Horwood,L. John,L.J.,true,60002143,83,NA
true,86,https://api.elsevier.com/content/author/author_id/57195958726,57195958726,Hübel C.,Hübel,Christopher,C.,true,60012311,83,NA
true,87,https://api.elsevier.com/content/author/author_id/55884572400,55884572400,Huckins L.,Huckins,Laura,L.,true,60005517,83,NA
true,88,https://api.elsevier.com/content/author/author_id/56920163200,56920163200,Hudson J.,Hudson,James,J.,true,60002746,83,NA
true,89,https://api.elsevier.com/content/author/author_id/55582731700,55582731700,Imgart H.,Imgart,Hartmut,H.,true,101192318,83,NA
true,90,https://api.elsevier.com/content/author/author_id/35379809800,35379809800,Inoko H.,Inoko,Hidetoshi,H.,true,60028799,83,NA
true,91,https://api.elsevier.com/content/author/author_id/55611433200,55611433200,Janout V.,Janout,Vladimir,V.,true,60003367,83,NA
true,92,https://api.elsevier.com/content/author/author_id/7801631922,7801631922,Jiménez-Murcia S.,Jiménez-Murcia,Susana,S.,true,60011805,83,NA
