@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,orcid,entry_number
true,11,https://api.elsevier.com/content/author/author_id/57201533940,57201533940,De Rosa A.,De Rosa,Anna,A.,true,60028868,NA,390
true,12,https://api.elsevier.com/content/author/author_id/9745131000,9745131000,Petrucci L.,Petrucci,Loredana,L.,true,60028868,NA,390
true,13,https://api.elsevier.com/content/author/author_id/7003290058,7003290058,Evoli A.,Evoli,Amelia,A.,true,60073799,NA,390
true,14,https://api.elsevier.com/content/author/author_id/6701821326,6701821326,Provenzano C.,Provenzano,Carlo,C.,true,60073799,NA,390
true,15,https://api.elsevier.com/content/author/author_id/35477692000,35477692000,Drachman D.B.,Drachman,Daniel B.,D.B.,true,60001117,NA,390
true,16,https://api.elsevier.com/content/author/author_id/57222737534,57222737534,Traynor B.J.,Traynor,Bryan J.,B.J.,true,60017252,NA,390
true,1,https://api.elsevier.com/content/author/author_id/56702275800,56702275800,Eren E.,Eren,Erden,E.,true,60017252,NA,391
true,2,https://api.elsevier.com/content/author/author_id/24461489800,24461489800,Leoutsakos J.M.,Leoutsakos,Jeannie Marie,J.M.,true,60001117,NA,391
true,3,https://api.elsevier.com/content/author/author_id/7005194760,7005194760,Troncoso J.,Troncoso,Juan,J.,true,60001117,NA,391
true,4,https://api.elsevier.com/content/author/author_id/6601923472,6601923472,Lyketsos C.G.,Lyketsos,Constantine G.,C.G.,true,60001117,NA,391
true,5,https://api.elsevier.com/content/author/author_id/36803663700,36803663700,Oh E.S.,Oh,Esther S.,E.S.,true,60001117,NA,391
true,6,https://api.elsevier.com/content/author/author_id/23990595600,23990595600,Kapogiannis D.,Kapogiannis,Dimitrios,D.,true,60017252,NA,391
true,1,https://api.elsevier.com/content/author/author_id/37015739600,37015739600,Osawa Y.,Osawa,Yusuke,Y.,true,60032268,0000-0002-7706-5166,392
true,2,https://api.elsevier.com/content/author/author_id/57211009334,57211009334,Tanaka T.,Tanaka,Toshiko,T.,true,60032268,NA,392
true,3,https://api.elsevier.com/content/author/author_id/7101832470,7101832470,Semba R.D.,Semba,Richard D.,R.D.,true,60015891,NA,392
true,4,https://api.elsevier.com/content/author/author_id/7004033816,7004033816,Fantoni G.,Fantoni,Giovanna,G.,true,60032268,NA,392
true,5,https://api.elsevier.com/content/author/author_id/6602805658,6602805658,Moaddel R.,Moaddel,Ruin,R.,true,60032268,NA,392
true,6,https://api.elsevier.com/content/author/author_id/6602895687,6602895687,Candia J.,Candia,Julián,J.,true,60013409,NA,392
true,7,https://api.elsevier.com/content/author/author_id/7004348315,7004348315,Simonsick E.M.,Simonsick,Eleanor M.,E.M.,true,60032268,NA,392
true,8,https://api.elsevier.com/content/author/author_id/7003381018,7003381018,Bandinelli S.,Bandinelli,Stefania,S.,true,122770049,NA,392
true,9,https://api.elsevier.com/content/author/author_id/55239601400,55239601400,Ferrucci L.,Ferrucci,Luigi,L.,true,60032268,NA,392
true,1,https://api.elsevier.com/content/author/author_id/56412408800,56412408800,Tian Q.,Tian,Qu,Q.,true,60017252,0000-0003-2706-1439,393
true,2,https://api.elsevier.com/content/author/author_id/57415030400,57415030400,Mitchell B.A.,Mitchell,Brendan A.,B.A.,true,60017252,NA,393
true,3,https://api.elsevier.com/content/author/author_id/57211714838,57211714838,Zampino M.,Zampino,Marta,M.,true,60017252,0000-0002-9381-3291,393
true,4,https://api.elsevier.com/content/author/author_id/6601980626,6601980626,Fishbein K.W.,Fishbein,Kenneth W.,K.W.,true,60017252,NA,393
true,5,https://api.elsevier.com/content/author/author_id/7402157099,7402157099,Spencer R.G.,Spencer,Richard G.,R.G.,true,60017252,NA,393
true,6,https://api.elsevier.com/content/author/author_id/55239601400,55239601400,Ferrucci L.,Ferrucci,Luigi,L.,true,60017252,NA,393
true,1,https://api.elsevier.com/content/author/author_id/57196261447,57196261447,Highland J.N.,Highland,Jaclyn N.,J.N.,true,60012957,NA,394
true,2,https://api.elsevier.com/content/author/author_id/15848542100,15848542100,Farmer C.A.,Farmer,Cristan A.,C.A.,true,60003158,NA,394
true,3,https://api.elsevier.com/content/author/author_id/55628073600,55628073600,Zanos P.,Zanos,Panos,P.,true,60012957,NA,394
true,4,https://api.elsevier.com/content/author/author_id/57203534002,57203534002,Lovett J.,Lovett,Jacqueline,J.,true,60017252,NA,394
true,5,https://api.elsevier.com/content/author/author_id/57203081301,57203081301,Zarate C.A.,Zarate,Carlos A.,C.A.,true,60003158,NA,394
true,6,https://api.elsevier.com/content/author/author_id/6602805658,6602805658,Moaddel R.,Moaddel,Ruin,R.,true,60017252,NA,394
true,7,https://api.elsevier.com/content/author/author_id/7006654360,7006654360,Gould T.D.,Gould,Todd D.,T.D.,true,60012957,0000-0003-1511-7183,394
true,1,https://api.elsevier.com/content/author/author_id/36769116900,36769116900,Sanchez-Roman I.,Sanchez-Roman,Ines,I.,true,60029616,NA,395
true,2,https://api.elsevier.com/content/author/author_id/55755956700,55755956700,Ferrando B.,Ferrando,Beatriz,B.,true,60029616,NA,395
true,3,https://api.elsevier.com/content/author/author_id/57393743900,57393743900,Holst C.M.,Holst,Camilla Myrup,C.M.,true,60029616,NA,395
true,4,https://api.elsevier.com/content/author/author_id/23097980400,23097980400,Mengel-From J.,Mengel-From,Jonas,J.,true,124817001,NA,395
true,5,https://api.elsevier.com/content/author/author_id/57210713194,57210713194,Rasmussen S.H.,Rasmussen,Signe Høi,S.H.,true,124817001,NA,395
true,6,https://api.elsevier.com/content/author/author_id/35263326600,35263326600,Thinggaard M.,Thinggaard,Mikael,M.,true,124817001,NA,395
true,7,https://api.elsevier.com/content/author/author_id/7102128395,7102128395,Bohr V.A.,Bohr,Vilhelm A.,V.A.,true,124817001,NA,395
true,8,https://api.elsevier.com/content/author/author_id/57233287700,57233287700,Christensen K.,Christensen,Kaare,K.,true,124817001,NA,395
true,9,https://api.elsevier.com/content/author/author_id/6701444806,6701444806,Stevnsner T.,Stevnsner,Tinna,T.,true,60029616,0000-0003-1007-0427,395
true,1,https://api.elsevier.com/content/author/author_id/57226601327,57226601327,Ghazarian A.L.,Ghazarian,Armineh L.,A.L.,true,60017252,NA,396
true,2,https://api.elsevier.com/content/author/author_id/57226599951,57226599951,Haim T.,Haim,Todd,T.,true,60017252,0000-0002-6408-2266,396
true,3,https://api.elsevier.com/content/author/author_id/57205651471,57205651471,Sauma S.,Sauma,Samir,S.,true,60017252,NA,396
true,4,https://api.elsevier.com/content/author/author_id/57222764415,57222764415,Katiyar P.,Katiyar,Pragati,P.,true,60017252,NA,396
true,1,https://api.elsevier.com/content/author/author_id/55502929400,55502929400,Schumacher-Schuh A.,Schumacher-Schuh,Artur,A.,true,60006726,NA,397
true,2,https://api.elsevier.com/content/author/author_id/35766422600,35766422600,Bieger A.,Bieger,Andrei,A.,true,60006726,NA,397
true,3,https://api.elsevier.com/content/author/author_id/56333558300,56333558300,Borelli W.V.,Borelli,Wyllians V.,W.V.,true,60014120,NA,397
true,4,https://api.elsevier.com/content/author/author_id/57201994056,57201994056,Portley M.K.,Portley,Makayla K.,M.K.,true,60013780,NA,397
true,5,https://api.elsevier.com/content/author/author_id/57203572148,57203572148,Awad P.S.,Awad,Paula Saffie,P.S.,true,60281411,NA,397
true,6,https://api.elsevier.com/content/author/author_id/56586205000,56586205000,Bandres-Ciga S.,Bandres-Ciga,Sara,S.,true,60013780,NA,397
true,1,https://api.elsevier.com/content/author/author_id/35792196200,35792196200,Liu Q.R.,Liu,Qing Rong,Q.R.,true,60017252,NA,398
true,2,https://api.elsevier.com/content/author/author_id/55636494400,55636494400,Aseer K.R.,Aseer,Kanikkai Raja,K.R.,true,60017252,NA,398
true,3,https://api.elsevier.com/content/author/author_id/59291290000,59291290000,Yao Q.,Yao,Qin,Q.,true,60017252,NA,398
true,4,https://api.elsevier.com/content/author/author_id/56134904300,56134904300,Zhong X.,Zhong,Xiaoming,X.,true,60029278,NA,398
true,5,https://api.elsevier.com/content/author/author_id/7402072721,7402072721,Ghosh P.,Ghosh,Paritosh,P.,true,60017252,NA,398
true,6,https://api.elsevier.com/content/author/author_id/57191272117,57191272117,O’Connell J.F.,O’Connell,Jennifer F.,J.F.,true,60017252,NA,398
true,7,https://api.elsevier.com/content/author/author_id/7202144917,7202144917,Egan J.M.,Egan,Josephine M.,J.M.,true,60017252,NA,398
true,1,https://api.elsevier.com/content/author/author_id/36835617000,36835617000,Taub M.A.,Taub,Margaret A.,M.A.,true,60006183,NA,399
true,2,https://api.elsevier.com/content/author/author_id/53263493500,53263493500,Conomos M.P.,Conomos,Matthew P.,M.P.,true,60015481,0000-0001-9744-0851,399
true,3,https://api.elsevier.com/content/author/author_id/57207934695,57207934695,Keener R.,Keener,Rebecca,R.,true,60145911,NA,399
true,4,https://api.elsevier.com/content/author/author_id/57201298628,57201298628,Iyer K.R.,Iyer,Kruthika R.,K.R.,true,60006183,NA,399
true,5,https://api.elsevier.com/content/author/author_id/57197875047,57197875047,Weinstock J.S.,Weinstock,Joshua S.,J.S.,true,60016660,0000-0001-7013-1899,399
true,6,https://api.elsevier.com/content/author/author_id/6701472152,6701472152,Yanek L.R.,Yanek,Lisa R.,L.R.,true,60001117,NA,399
true,7,https://api.elsevier.com/content/author/author_id/57194657036,57194657036,Lane J.,Lane,John,J.,true,60008772,0000-0002-3582-5825,399
true,8,https://api.elsevier.com/content/author/author_id/57190762379,57190762379,Miller-Fleming T.W.,Miller-Fleming,Tyne W.,T.W.,true,60030769,NA,399
true,9,https://api.elsevier.com/content/author/author_id/57205961011,57205961011,Brody J.A.,Brody,Jennifer A.,J.A.,true,60028548,NA,399
true,10,https://api.elsevier.com/content/author/author_id/55769881800,55769881800,Raffield L.M.,Raffield,Laura M.,L.M.,true,60020469,0000-0002-7892-193X,399
